intervalos de timpo,W/s
0.326831825,0
300.2,0
0.326831825,0
300.2,0
0.326831825,0
300.2,0
0.332197897,0
16.7161979,5637.788577
16.7161979,5637.788577
33.1001979,9865.659811
33.1001979,9865.659811
300.3321979,9865.659811
600.3321979,35665.67393
X,X
0.46097875080489376,0.0
16.844978750804895,5637.136320242082
16.844978750804895,5637.136320242082
33.22897875080489,8456.120743960324
33.22897875080489,8456.120743960324
300.4609787508049,8456.120743960324
316.8449787508049,11274.225067547919
316.8449787508049,11274.225067547919
333.2289787508049,12683.268611462543
333.2289787508049,12683.268611462543
600.4609787508049,12683.268611462543
900.4609787508049,38483.46451691943
0.46097875080489376,0.0
16.844978750804895,5637.136320242082
16.844978750804895,5637.136320242082
33.22897875080489,8456.120743960324
33.22897875080489,8456.120743960324
300.4609787508049,8456.120743960324
316.8449787508049,11274.225067547919
316.8449787508049,11274.225067547919
333.2289787508049,12683.268611462543
333.2289787508049,12683.268611462543
600.4609787508049,12683.268611462543
900.4609787508049,38483.46451691943
0.46097875080489376,0.0
16.844978750804895,5637.136320242082
16.844978750804895,5637.136320242082
33.22897875080489,8456.120743960324
33.22897875080489,8456.120743960324
300.4609787508049,8456.120743960324
316.8449787508049,11274.225067547919
316.8449787508049,11274.225067547919
333.2289787508049,12683.268611462543
333.2289787508049,12683.268611462543
600.4609787508049,12683.268611462543
900.4609787508049,38483.46451691943
0.320125698133634,0.0
16.704125698133634,15508.003300468667
16.704125698133634,15508.003300468667
33.08812569813364,23965.21392368643
33.08812569813364,23965.21392368643
300.3201256981336,23965.21392368643
316.7041256981336,28192.884598247543
316.7041256981336,28192.884598247543
333.0881256981336,31011.51807722392
333.0881256981336,31011.51807722392
600.3201256981336,31011.51807722392
900.3201256981336,56811.55209605448
1200.3201256981336,82611.60651450309
1500.3201256981336,108411.62692580142
0.320125698133634,0.0
16.704125698133634,15508.003300468667
16.704125698133634,15508.003300468667
33.08812569813364,23965.21392368643
33.08812569813364,23965.21392368643
300.3201256981336,23965.21392368643
316.7041256981336,28192.884598247543
316.7041256981336,28192.884598247543
333.0881256981336,31011.51807722392
333.0881256981336,31011.51807722392
600.3201256981336,31011.51807722392
900.3201256981336,56811.55209605448
1200.3201256981336,82611.60651450309
1500.3201256981336,108411.62692580142
0.320125698133634,0.0
16.704125698133634,15508.003300468667
16.704125698133634,15508.003300468667
33.08812569813364,23965.21392368643
33.08812569813364,23965.21392368643
300.3201256981336,23965.21392368643
316.7041256981336,28192.884598247543
316.7041256981336,28192.884598247543
333.0881256981336,31011.51807722392
333.0881256981336,31011.51807722392
600.3201256981336,31011.51807722392
900.3201256981336,56811.55209605448
1200.3201256981336,82611.60651450309
1500.3201256981336,108411.62692580142
0.320125698133634,0.0
16.704125698133634,15508.003300468667
16.704125698133634,15508.003300468667
33.08812569813364,23965.21392368643
33.08812569813364,23965.21392368643
300.3201256981336,23965.21392368643
316.7041256981336,28192.884598247543
316.7041256981336,28192.884598247543
333.0881256981336,31011.51807722392
333.0881256981336,31011.51807722392
600.3201256981336,31011.51807722392
900.3201256981336,56811.55209605448
1200.3201256981336,82611.60651450309
1500.3201256981336,108411.62692580142
0.320125698133634,0.0
16.704125698133634,15508.003300468667
16.704125698133634,15508.003300468667
33.08812569813364,23965.21392368643
33.08812569813364,23965.21392368643
300.3201256981336,23965.21392368643
316.7041256981336,28192.884598247543
316.7041256981336,28192.884598247543
333.0881256981336,31011.51807722392
333.0881256981336,31011.51807722392
600.3201256981336,31011.51807722392
900.3201256981336,56811.55209605448
1200.3201256981336,82611.60651450309
1500.3201256981336,108411.62692580142
0.320125698133634,0.0
16.704125698133634,15508.003300468667
16.704125698133634,15508.003300468667
33.08812569813364,23965.21392368643
33.08812569813364,23965.21392368643
300.3201256981336,23965.21392368643
316.7041256981336,28192.884598247543
316.7041256981336,28192.884598247543
333.0881256981336,31011.51807722392
333.0881256981336,31011.51807722392
600.3201256981336,31011.51807722392
900.3201256981336,56811.55209605448
1200.3201256981336,82611.60651450309
1500.3201256981336,108411.62692580142
